                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7025,                 4.5794,                 1.4654,                0.87232,                0.87638,                0.85829,                0.54567,                 2.7695,                 9.2499,                 2.7938,             0.00054048,             0.00054048,             0.00054048
                     36,                 1.8577,                 5.0212,                 1.5614,                0.88948,                0.83434,                0.86138,                0.59212,                 2.6246,                 9.2355,                 2.4861,             0.00053084,             0.00053084,             0.00053084
                     37,                 1.6972,                 4.5916,                 1.5037,                0.87917,                0.84905,                0.85655,                0.55236,                 2.7506,                 9.3128,                 2.7326,             0.00052102,             0.00052102,             0.00052102
                     38,                  1.738,                 4.6406,                 1.4523,                0.88279,                0.85458,                0.85333,                0.54345,                 2.7955,                 10.007,                 2.5839,             0.00051105,             0.00051105,             0.00051105
                     39,                 1.7129,                 4.6181,                 1.4569,                0.88197,                0.81877,                0.85724,                0.56243,                 2.6952,                 9.9093,                 2.5253,             0.00050093,             0.00050093,             0.00050093
                     40,                 1.7136,                 4.6148,                 1.4552,                0.88783,                0.83261,                 0.8506,                   0.59,                 2.6078,                 9.7857,                 2.8407,             0.00049068,             0.00049068,             0.00049068
                     41,                 1.6663,                 4.4774,                 1.4074,                0.85679,                0.84104,                0.85535,                0.58924,                 2.6282,                  10.01,                 2.5887,             0.00048029,             0.00048029,             0.00048029
                     42,                 1.6532,                 4.3575,                 1.4981,                0.84511,                0.83997,                0.85617,                0.57518,                 2.6739,                 9.9722,                 2.7126,             0.00046979,             0.00046979,             0.00046979
                     43,                 1.6482,                 4.4819,                 1.5359,                0.87697,                0.86073,                 0.8575,                0.58542,                 2.6467,                 9.7783,                 2.6034,             0.00045917,             0.00045917,             0.00045917
                     44,                 1.6179,                 4.3402,                 1.4583,                0.89823,                  0.817,                0.85575,                0.60254,                 2.6641,                 9.9037,                 2.5406,             0.00044846,             0.00044846,             0.00044846
                     45,                 1.6072,                 4.2244,                 1.4284,                0.86155,                0.84126,                0.85223,                0.56949,                 2.6658,                 9.7706,                 2.9503,             0.00043767,             0.00043767,             0.00043767
                     46,                 1.6216,                 4.3218,                 1.5141,                0.90641,                0.77438,                0.83802,                0.56895,                 2.7559,                 11.171,                 3.0838,              0.0004268,              0.0004268,              0.0004268
                     47,                 1.6275,                 4.3208,                 1.4888,                0.87521,                 0.8328,                0.85512,                0.58102,                 2.7461,                 9.8317,                 2.4009,             0.00041586,             0.00041586,             0.00041586
                     48,                 1.5987,                 4.1903,                 1.4634,                 0.9007,                0.85035,                0.85529,                0.56949,                 2.8222,                 9.2316,                 2.6938,             0.00040487,             0.00040487,             0.00040487
                     49,                  1.569,                 4.1021,                 1.4598,                0.89126,                0.82927,                0.85402,                0.58171,                 2.7626,                 9.6792,                 2.6292,             0.00039383,             0.00039383,             0.00039383
                     50,                 1.6404,                 4.3576,                 1.4701,                0.88588,                0.83997,                0.85493,                0.61467,                 2.6173,                 10.082,                 2.6143,             0.00038276,             0.00038276,             0.00038276
